Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,HD scenario body,HD scenario body #2 (negation scenarios only),HD comprehension question,HD correct response,HD incorrect response,HD photo link,Letters Missing
Finances,,,Savings Scandal,"You've recently been putting money in savings, to have in case of emergencies. Your credit card bill was more expensive than you had expected this month, and you had to take a large bit of money from your savings to pay for it. You decide this is okay, and there is plenty of time to bulk up your savings. ",N/A,Are you worried about losing savings?,No,Yes ,./images/Savings_Scandal.jpeg,all
Finances,,,Buying Supplies,"You are trying to buy supplies needed to do your job, which your employer usually reimburses. However, you’ve noticed that the price of an item you routinely buy has gone way up, and you worry that you will be partially responsible for paying for it. You reach out to your supervisor to discuss the change, and they confirm you will still be fully reimbursed.",,Can you reach out to your supervisor for help with work-related finances? ,Yes,No,./images/Buying_Supplies.jpeg,all
Finances,,,Paying Bills,"Rent for the next month is due soon. You’ve been under financial stress lately, and you’re unsure if you have enough money to make your rent payment. You think that making a plan to pay your rent on time will be feasible. ",,Will you pay your rent on time? ,Yes,No,./images/Paying_Bills.jpeg,all
Finances,,,Worrying About Savings,"You hung out with some friends you haven't seen in a while, and you ended up on the topic of finances. While you thought your financial situation was stable, your friends start talking about the money they're putting away in savings for retirement. You've been using your money to pay for necessities, and haven't thought about starting to save.","When you think about it, you know that you have lots of time to save still, and finances don't look the same for everyone. ",Are you concerned about not saving right now?,No,Yes,./images/Worrying_About_Savings.jpeg,all
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. ","As you think about cutting back on your expenses you do not see yourself overspending again, and you think that saving enough for your trip is manageable.",Do you think it will be too hard to save up enough for your ski trip?,No,Yes,./images/Saving_up_Money.jpeg,all
Finances,Family & Home Life,,Providing for Family,"You want your family to have good educational opportunities. You want your kids to be able to attend good colleges, but understand that this comes with a high price tag. When you think about your children, you think supporting their college education will be impossible.",,"When you think about talking to your children about their education, you can imagine telling them:","""I don't think we're going to be able to afford sending you to that school.""","""I will help you go to a good school.""",./images/Providing_for_Family.jpeg,all
Finances,,,Buying New Clothes,"Looking around, it seems like everyone you know has new outfits. You’ve been wearing the same clothes for years, and you start to wonder whether people are judging you. You realize that you like the clothes you have, and they make you feel good. ",,Will people judge you if do not buy new clothes? ,No,Yes,./images/Buying_New_Clothes.jpeg,all
Finances,Romantic Relationships,,New Home,"You are planning on moving and have started looking at houses on the market. Your spouse finds a home that they love, but you think that it would really stretch your budget. You feel confident you’ll be able to come up with a solution that works for everyone. ",,Will your spouse be devastated if you don't buy the house they like?,No,Yes,./images/New_Home.jpeg,all
Finances,Social Situations,,Breakfast with Friends,"Your friends want to grab breakfast together. You don’t want to miss out on spending time with them, but you’re trying not to eat out as much. When you tell them you’ll eat the food you have at home, you think they’ll be reasonable. ",,Will your friends be upset at you for saying no? ,No,Yes,./images/Breakfast_with_Friends.jpeg,all
Finances,Mental Health,,Affording Therapy,"You've been wanting to go to therapy for a while. However, you aren't sure whether you have the budget to pay for it. You think that it's likely that you will find a provider whose services are affordable. ",,Do you want to go to therapy?,Yes,No ,./images/Affording_Therapy.jpeg,all
Finances,Family & Home Life,,Holiday Gifts,"A holiday that your family celebrates is coming up. You want to buy gifts for everyone, but you can't afford it. You decide to buy one gift for your family to share, and you think that it will be appreciated. ",,Will your family like your gift?,Yes,No,./images/Holiday_Gifts.jpeg,all
Finances,Family & Home Life,,Unexpected Medical Visit ,"You recently had an unexpected medical visit. You and your spouse share an insurance plan, and you’re worried that your spouse will be concerned about finances if they see it on your insurance statement. If they ask you about it, you think they will be understanding. ",,Will your spouse be mad? ,No,Yes,./images/Unexpected_Medical_Visit.jpeg,all
Finances,Mental Health,,Treating Yourself,"You've had a lot going on recently, and haven't felt like yourself. You want to treat yourself to something you enjoy, but you aren't sure you have room in your budget. You decide to buy yourself something small that you can definitely afford.",,Are you able to treat yourself?,Yes,No,./images/Treating_Yourself.jpeg,all
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,./images/Affording_Expenses.jpeg,all
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,./images/Planning_Payments.jpeg,all
Finances,,,Affording Education,"Your children are thinking about going to college, but you think you would have to take out a loan to help send them. You remember stories you have heard of people still paying their loans when they are in retirement. Imagining yourself in retirement, you think your loans will be outstanding.",,"You imagine that in retirement, you will probably be",Still burdened by your  loans.,Financially stable with your loans paid off.,./images/Affording_Education.jpeg,all
Finances,Social Situations,,Break Plans,"Your friends are planning a trip to the beach over the break and have offered to help you with the cost. You feel grateful, but also embarrassed that you can’t pay for the trip yourself. You know that your friends are happy to help. ",N/A,Are you burdening your friends?,No,Yes,./images/Break_Plans.jpeg,all
Finances,Romantic Relationships,,Paying for Dinner ,"You are on a date with your partner. They always pick up the bill, despite you wanting to pay. When you think about talking to them about paying equally, you think they will understand. ",N/A,Will your partner understand your concerns?,Yes,No,./images/Paying_for_Dinner.jpeg,all
Finances,Mental Health,,Burn Out,"You have been working really hard for the past year and are starting to feel burned out. You feel like you need to take a break, but you’re worried about the financial repercussions of taking time off. You think that taking time off to focus on your mental health is important. ",N/A,Is it important to take breaks sometimes?,Yes,No,./images/Burn_Out.jpeg,all
Finances,Family & Home Life,,Financial Dependence ,"Your children have been relying on you financially, and you want them to start to be more independent. You know this is an important next step, but the thought of providing them less support is overwhelming. As you think to the future, you are confident that their financial independence will be possible. ",N/A,Will your children be able to be financially independent?,Yes,No,./images/Financial_Dependence.jpeg,all
Finances,,,Making Changes,"You are doing your taxes and start worrying about what the coming years hold, especially in terms of your finances. When you think about the coming years, you know that you will be financially stable. ",N/A,Will you be financially stable in the future?,Yes,No,./images/Making_Changes.jpeg,all
Finances,,,Funding Good Habits ,"You recently picked up a new hobby in an effort to improve your work-life balance, and you’re really enjoying it so far. However, this new hobby requires you to purchase materials from the store, and the expenses can quickly add up. You decide to do some research online and realize that many places sell the materials you need at a discount. ",N/A,Do you need to give up your new hobby? ,No,Yes,./images/Funding_Good_Habits.jpeg,all
Finances,Physical Health,,Healthy But Expensive ,"You want to start eating healthier, so you start researching tips and recipes online. You quickly realize that many foods recommended by health experts cost a lot of money. When you think about eating healthier on a budget, you think you can be successful. ",N/A,Are healthy recipes unattainable for you? ,No,Yes,./images/Healthy_But_Expensive.jpeg,all
Finances,,,Managing Credit Cards,"Your bank has contacted you about signing up for a credit card with a very low interest rate. You are a responsible spender, but you worry about accruing debt if you sign up for a new credit card. ","As you think about what you would do with the credit card, you don't imagine you will suddenly spend recklessly, and you think that you would probably spend money wisely.",Do you think you would still spend money responsibly if you get a new credit card?,Yes,No,./images/Managing_Credit_Cards.jpeg,all
Finances,Family & Home Life,,Unexpected Costs,"You are currently renting your home, but you have a stable job now. You feel that it is about time to buy a house. ","Considering the possibility of buying, you think that you will be able to successfully move, because fully supporting your decision will be feasible.",Will you have trouble supporting your decision to buy a house?,No,Yes,./images/Unexpected_Costs.jpeg,all
Finances,,,Write Your Own,,,,,,,write your own
Finances,,,Write Your Own,,,,,,,write your own
Finances,,,Write Your Own,,,,,,,write your own
Finances,,,Investments,"You have some money you would like to try investing. As you read more about investing, you realize that you’re not completely sure what you’re doing. You think that your investment skills are likely to keep improving with practice. ",N/A,Will investing now pay off later?,Yes,No,./images/Investments.jpeg,1
Finances,,,Trip After Car Problem,"You want to take a trip to destress. Due to a recent problem with your car, your funds are lower than normal. Despite this, you think that a trip that works for your budget and improves your mental health will be doable. ",N/A,Will you be able to go on a trip? ,Yes,No,./images/Trip_After_Car_Problem.jpeg,1
Finances,Physical Health,,Recovering from the Flu,"You had to take some time off of work because you caught the flu. Although the break was important for your health, it also put a strain on your finances. When you think about your financial situation, you know you will be able to make up for the lost time.",N/A,Will you recover from your time off?,Yes,No,./images/Recovering_from_the_Flu.jpeg,1
Finances,Work/Career Development,Mental Health,Applying for a Grant,"You want to start a new initiative in your office, so you apply for a grant for funding. Without this funding, you won't be able to move forward with your initiative, but you don't know if your proposal is good enough. You think you won't get the funding. ",N/A,Are you able to start this initiative?,No,Yes,./images/Applying_for_a_Grant.jpeg,1
Finances,Social Situations,,Social Function,"There is an upcoming community event to celebrate the end of the year, and you really want to go. After expecting the event to you be free, you are surprised to learn that it will actually be very costly to attend. You decide to reach out to the event committee and reach a compromise. ",N/A,Will the event coordinator be understanding?,Yes,No,./images/Social_Function.jpeg,1
Finances,,,Treating a Friend,"Your friend has been supporting you through a tough time and you are really grateful for their support. You want to thank them by treating them to dinner, but you don’t have enough money to take them out to a restaurant. You decide to make them a home-cooked dinner and think that they will be appreciative. ",N/A,Will your friend be angry that you didn’t go out to eat?,No,Yes,./images/Treating_a_Friend.jpeg,1
Finances,Family & Home Life,Romantic Relationships,Partner's Spending,"You and your partner recently opened a joint bank account. While going through the bank statements, you are shocked to see that your partner has been spending recklessly. As you consider bringing up your concerns to your partner, you think they will be understanding. ",N/A,Will your partner be mad that you brought this up?,No,Yes,./images/Partner's_Spending.jpeg,1
Finances,Family & Home Life,,Affording a Trip ,"Your child really wants to go to a theme park for vacation this year. You've been researching the cost of the trip, and you don't think you can afford it. You think that you can find an alternative trip that your child will still enjoy. ",,Can you make it to a theme park this year?,No,Yes,./images/Affording_a_Trip.jpeg,1
Finances,,,Affording Education,"Your children are thinking about going to college, but you think you would have to take out a loan to help send them. You remember stories you have heard of people still paying their loans when they are in retirement. ","Imagining yourself in retirement, you don't imagine yourself racked with debt, and you think your loans will be paid.",Do you think you will still be paying back loans when you are retired?,No,Yes,./images/Affording_Education.jpeg,1
Finances,,,Starting a Small Business,"You are considering leaving your job to start your own small business and are ready to work hard. You are excited, but you also know that many start-ups can end up crashing and burning.","Thinking about the future of your business, your company will not fail, and it will be a success",Do you think your small business will be profitable?,Yes,No,./images/Starting_a_Small_Business.jpeg,1
Finances,Family & Home Life,,Gift Giving,"Your children's birthdays are approaching, and you want to show them how much you appreciate them through gifts. However, you're worried about if you'll be able to afford the gifts you think they deserve. When you think about their birthdays, you think that they will be happy with something small.",N/A,Do your children need a big gift to feel appreciated? ,No,Yes,./images/Gift_Giving.jpeg,
Finances,Mental Health,,Session Costs,"You recently had to pay a large sum of money toward repairs for your car. This unexpected expense cut into the money you use to pay your therapy copays, and you are concerned about what will happen if you miss sessions to save money. You call the therapy office, and they help you come up with a solution. ",N/A,Do finances get in the way of therapy?,No,Yes,./images/Session_Costs.jpeg,2
Finances,Mental Health,,Food Costs,"Recently, you've just wanted to spend time alone and don't have much motivation to get out of bed. You ordered delivery a few nights in a row, and spent much more money on takeout than you normally do. You realize that there are some easy meals you can handle making next week and start planning. ",N/A,Are you going to spend all of your money on delivery? ,No,Yes,./images/Food_Costs.jpeg,2
Finances,,,Making a Plan,"You're reviewing your monthly budget and notice that your expenses have been slightly higher than usual. As you prepare to pay the bills, you start to worry if you'll have enough left for your planned vacation next month. Considering things, you think you'll be able to cut down on some expenses leading up to and following your vacation, and you feel relieved. ",N/A,Will you be able to go on vacation?,Yes,No,./images/Making_a_Plan.jpeg,2
Finances,Mental Health,,Vacation Costs,"You have been feeling really overwhelmed and drained recently and want to go on a trip to take a break. When you look into flights, you realize that the cost of a trip may be totally out of your budget. You remind yourself you can go for a short trip somewhere nearby and still have fun. ",,Can you still take time for yourself on a budget?,Yes,No,./images/Vacation_Costs.jpeg,2
Finances,Family & Home Life,,Family Money Troubles,"Your sibling is in a tight spot and is asking for money. You love your sibling and really want to help them, but you are dealing with your own financial challenges and need to put your money toward rent. Thinking about the other types of support you can offer your sibling, you think they will be grateful. ",N/A,Can you help your sibling even if you can't offer them money right now? ,Yes,No,./images/Family_Money_Troubles.jpeg,2
Finances,Family & Home Life,,Paying for College,You want your family to have good educational opportunities. You want your kids to be able to attend good colleges but understand that this comes with a high price tag.,"When you think about your children, you don't think they will miss educational opportunities because of money. You think supporting their college education will be affordable.",Do you think you will have enough money to pay for your children's college expenses?,Yes,No,./images/Paying_for_College.jpeg,2
Finances,Social Situations,,Weekend Plans,"Your friends ask you to go out to dinner at a fancy restaurant with them this weekend. It is really expensive and you know you won't be able to afford it. When you picture yourself telling your friends that you can't go, you feel nervous.",N/A,Will your friends be upset that you can't go out to dinner?,No,Yes,./images/Weekend_Plans.jpeg,2
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. As you think about cutting back on your expenses, you think that saving enough for your trip is hopeless.",,"When it is time to book the upcoming trip, you will probably",Have to cancel because of money issues.,Be able to choose a pretty nice hotel.,./images/Saving_up_Money.jpeg,2
Finances,Social Situations,,Worrying About Spending,"A group of your friends are going out to dinner and they invited you. You know that you guys have been going out to dinner a lot recently, and you don't know if you can keep up with this lifestyle. You tell your friends that you'll catch up with them next time, and you're happy staying at home for the night.",N/A,Are you comfortable passing up on this dinner?,Yes,No,./images/Worrying_About_Spending.jpeg,2
Mental Health,,,Haircut Headache ,"Today you're taking staff pictures and you got a new haircut for it. It didn't turn out the way you wanted it to. When you think about others seeing your new haircut in the pictures, you feel embarrassed",,Are others going to judge you when they see your haircut in the picture?,Yes,No,./images/Haircut_Headache.jpeg,1
Mental Health,,,Vacation Plans,"You are traveling abroad with your best friend. You have a general idea of what you will do each day, but you didn't plan out every detail ahead of time. This uncertainty causes some anxiety that is tolerable.",N/A,Is the spontaneity of your trip going to be tolerable?,Yes,No,./images/Vacation_Plans.jpeg,1
Mental Health,Family & Home Life,,Leaving the House,"One morning you leave your house and begin to make your way to work. About 10 minutes into the commute, you wonder whether you remembered to lock the door to your home. As you continue your commute, you trust yourself and you feel relaxed.",N/A,"For the rest of your morning commute, you feel ...",At ease as you get to work.,Worried that you left the door to your home unlocked.,./images/Leaving_the_House.jpeg,1
Mental Health,,,Faster thoughts,"You are planning an event you are extremely excited about. As you think about what you need to do for the event to be a success, your thoughts seem to speed up. This is helpful.",N/A,Do you find it useful when your thoughts seem to speed up?,Yes,No,./images/Faster_thoughts.jpeg,1
Mental Health,Social Situations,,Office Talk,"You are having a discussion with your boss in their office, which is a little anxiety-provoking for you. You think about ending the discussion early. After a brief pause, you decide to stay.",N/A,Are you able to continue the discussion with your boss?,Yes,No,./images/Office_Talk.jpeg,1
Mental Health,Work/Career Development,,Locked door,"You get home from work on a Friday evening and wonder whether you locked the office door. You usually lock the door, but you still feel anxious not knowing for sure. Your weekend away from the office will be enjoyable.",N/A,"Over the weekend, you will ...",Rest and spend time with friends.,Worry about whether you locked the door. ,./images/Locked_door.jpeg,1
Mental Health,,,Favorite watch,"You are out to dinner and realize that you are not wearing your favorite watch. You don't remember taking it off earlier but think it is probably where you always keep it. You become a little anxious thinking about where the watch is, and your dinner ends up being enjoyable.",N/A,Is the dinner miserable while you worry about the watch? ,No,Yes,./images/Favorite_watch.jpeg,1
Mental Health,,,Thinking about Flying,You're watching a TV show about people travelling to other countries. The idea of taking an airplane makes you feel anxious. You think you will deal with your anxiety successfully.,N/A,Are you able to tolerate your feelings of anxiety about airplanes? ,Yes,No,./images/Thinking_about_Flying.jpeg,1
Mental Health,Physical Health,,Monday Morning,"It's Monday morning and you are running late for a meeting. You feel your heart racing as you open the car door and sit down. Fearing that you might have a panic attack, you have a strong urge to get out of the car, and yet you decide to observe these sensations without reacting and stay seated.",N/A,Is it necessary to get out of the car because you feel your heart beating rapidly?,No,Yes,./images/Monday_Morning.jpeg,1
Mental Health,,,Late night sensation,"In the middle of the night, you wake up abruptly and feel weird as you sit up. It's as if your mind isn't working correctly, and you start to think you might be losing control. This thought frightens you, and you decide to lie back down and just observe it.",N/A,Do you need to fight your strange feelings in order to make your anxiety go away?,No,Yes,./images/Late_night_sensation.jpeg,1
Mental Health,Work/Career Development,,Not Feeling Prepared,"In one of your meetings recently, your boss asks everyone to raise their hands if they've heard of a work technique before. When you look around, you notice the majority of your coworkers have their hands raised, but you don't. This makes you feel like you're not prepared to do the job.",N/A,Are your coworkers more prepared than you?,Yes,No,./images/Not_Feeling_Prepared.jpeg,1
Mental Health,Social Situations,,Picture with Friends,"You and your friend took some pictures together. You look through your feed and see that they tagged you in a post and you really don't like how you look. But, you know that in the long run it won't matter.",N/A,Are you worried about your appearance in the posted picture?,No,Yes,./images/Picture_with_Friends.jpeg,1
Mental Health,,,Locking the Door,"You are bringing in the mail for your friend while they are away. On your way out of their home each day, you lock the front door and check the lock. Today you were rushing and think you forgot to check the lock, and you think their home will probably be fine.",N/A,Is it likely that your neighbor's home will be robbed?,No,Yes,./images/Locking_the_Door.jpeg,1
Mental Health,Family & Home Life,,Safe Driving,"Your friend is a good driver, but today it is raining heavily. They're driving very fast, so you ask them to slow down. You take a deep breath, because the chances of getting into an accident are small. ",N/A,Are you likely to get into an accident? ,No,Yes,./images/Safe_Driving.jpeg,1
Mental Health,Social Situations,,Inside Jokes,You post a short video. Your best friend comments something really embarrassing. Your followers will think that you and your friend are close.,N/A,Do others judge you for your friend's comment on your post?,No,Yes,./images/Inside_Jokes.jpeg,1
Mental Health,,,Trusting Yourself,"You're working on a project with some coworkers. You offer an idea to the group, and someone laughs and says that it's not good. While you're working on the project, you think that you're smart.",,Do you think that you're dumb because you made a mistake?,No,Yes,./images/Trusting_Yourself.jpeg,1
Mental Health,,,Deciding to Share a Picture,"You take a picture of a coworker at an event that is really great. You want to show your other coworkers in an email but remember that you just sent out an email yesterday. If you email again, you think people won't  notice.",,Do your coworkers think it's strange that you emailed two days in a row?,No,Yes,./images/Deciding_to_Share_a_Picture.jpeg,1
Mental Health,,,Job Recognition,"You just received recognition for a project you worked on. You’ve only received congratulations from a few people, and by now you thought you’d have more reactions. You wonder if people aren't congratulating you because they are busy.",,Are people not congratulating you because they think you don't deserve it?,No,Yes,./images/Job_Recognition.jpeg,1
Mental Health,Social Situations,,Driving flashback ,"You are driving to a friend's house in the town you previously lived in. When you arrive at the entrance, you have a strong flashback to when you used to visit this house many years back. You start to feel anxious about being disoriented, and you decide that what you will do about these feelings is to just let them pass.",N/A,"When you feel disoriented, it is helpful to ...",Simply observe and accept the feelings.,Get anxious about feeling disoriented.,./images/Driving_flashback.jpeg,1
Mental Health,Physical Health,,Trying New Foods,"Your partner brings home some very spicy food for dinner. After eating some, your face begins to sweat, and you can feel your heart beating in your chest. These sensations trigger streams of anxious thoughts. You decide to focus on the conversation, and your experience the rest of dinner is enjoyable.",N/A,You respond to the spicy food by...,Tolerating your heart racing and focusing on the conversation.,Continuing to worry about whether you have a medical issue.,./images/Trying_New_Foods.jpeg,1
Mental Health,,,Your Bowling Skills,"You have been bowling in a recreational league with some friends for the past few years. You have improved since you started, but you aren't as skilled as you would like to be yet. When you think about yourself in the years to come you see your bowling skills as disappointing",,"Years from now, when you are bowling with your friends, you will probably notice",How little your skills have continued to improve.,How much you have improved since you started.,./images/Your_Bowling_Skills.jpeg,1
Mental Health,Social Situations,,Early Morning,You just started a new job and some friends from work  want to take you to a dinner tonight. You let them know that you have to be up early tomorrow morning for an important event and that you can't go with them and they seem disappointed. You think that your new friends will respect your decision to put your needs first.,N/A,Do your friends judge you for not going out with them?,No,Yes,./images/Early_Morning.jpeg,1
Mental Health,,,Your Own Style,"You made plans with a group of friends to go out to dinner on a Friday night. When they come to pick you up, you see that they are dressed casually, but you decided to dress up a bit, and you think they might judge you. You decide that you like what you're wearing, and go to dinner happy. ",N/A,Do you change your outfit because of what your friends are wearing?,No,Yes,./images/Your_Own_Style.jpeg,1
Mental Health,,,Change of Plans,"You decide to take a job offer in a different office. Many members of your old coworkers still do not know about this decision, and you worry about them being disappointed about it. You think that they will be happy that you are finally following your passions.",N/A,Will your coworkers be disappointed because of your new job?,No,Yes,./images/Change_of_Plans.jpeg,1
Mental Health,,,Trying Different Foods,"You and your colleagues are at a restaurant. While your colleagues all order the same dish, you want to order something different and adventurous, but you're worried that they'll think it's weird or gross. You decide to order the dish anyways, and enjoy the new flavors.",N/A,Should you avoid trying new foods because your colleagues are not ordering it?,No,Yes,./images/Trying_Different_Foods.jpeg,1
Mental Health,,,Voicing Your Opinion,"Your coworkers are talking about a current issue and you realize you have a different opinion than them. You want to express it, but worry if they will judge you. You decide that it is better to be honest.",N/A,Should you avoid adding on to the conversation?,No,Yes,./images/Voicing_Your_Opinion.jpeg,1
Mental Health,,,Speaking Up During Collaboration,"During a meeting, your boss puts you in a group of colleagues to collaborate on finding a solution for an issue. There is one topic that people are unsure how to address, but you have an idea. Even though you have not spoken up with this group yet, you trust your instincts and hope to guide the group in the right direction.",N/A,Will you share your ideas for the topic?,Yes,No,./images/Speaking_Up_During_Collaboration.jpeg,1
Mental Health,,,New Outfit,"You put on a new outfit in the morning before leaving for the day. In the middle of the day, you notice you feel a bit different in this new outfit. You love this feeling and are happy you chose to wear the outfit. ",,Are you happy with the new outfit you chose?,Yes,No,./images/New_Outfit.jpeg,1
Mental Health,,,A Moment of Forgetfulness,"You remembered that you need milk from the store, so on your way home, you stop to get it. When you walk into the store, you suddenly forget why you are there, which you find a bit troubling. You check your to-do list and decide you can still continue on with your day with confidence.",N/A,Did troubling thoughts prevent you from continuing on with your day?,No,Yes,./images/A_Moment_of_Forgetfulness.jpeg,1
Mental Health,,,New Style ,"You go shopping at your favorite clothes store. You see an outfit that you love but do not believe it is right for your body type. After you get it and try it on, you want to buy it despite it not being something you typically wear. ","After battling with yourself in the dressing room, you find yourself feeling confident and wanting to wear it out so you purchase the new outfit.",Are you excited to wear your outfit to a party?,Yes,No,./images/New_Style.jpeg,1
Mental Health,,,Being a Parent,"You are spending some time with your young daughter over the weekend. Your daughter is very sweet, but sometimes you get frustrated with her. When you think about your relationship with her as she grows up, you see yourself as being frustrated.",,"Thinking about your future relationship with your daughter, you see yourself",Being stressed because of her.,Having a loving relationship with her.,./images/Being_a_Parent.jpeg,2
Mental Health,,,Night Out,You are getting ready for a dinner out. You notice that you have a big pimple on your cheek. You feel beautiful.,N/A,Do you think you look good?,Yes,No,./images/Night_Out.jpeg,2
Mental Health,,,Canceling on Friends,"You've been feeling run down lately and cancel on plans that you made with your friends. Your friends express frustration, saying that they planned this a long time ago and were looking forward to seeing you. You think that you made the best decision for yourself. ",N/A,Are you glad you canceled your plans to rest?,Yes,No,./images/Canceling_on_Friends.jpeg,2
Mental Health,,,Insightful Email,"During a meeting today, you have a thought that you think is really insightful. You didn't get the chance to bring it up in the meeting, but you want to email your department head about it. When you send the email, you feel proud of yourself for sharing your thoughts.", N/A,Was your thought worth sharing?,Yes,No,./images/Insightful_Email.jpeg,2
Mental Health,,,Confronting a Friend,"In a conversation with a friend today, they say something slightly offensive and they do not seem to realize that it may have made you uncomfortable. You confront them about their comment and why it was offensive, and you worry in the moment that they may be angry at you. When you hear their response, they are thankful you communicated with them and apologize.",N/A,Are you proud that you communicated with your friend?,Yes,No,./images/Confronting_a_Friend.jpeg,2
Mental Health,,,Truthful Texting,"You got someone's number from a dating app and have been texting them back and forth for a few days now. You do not feel very interested in them, but they text you today saying that they are extremely interested in you and want to meet up for a date and you are worried they will be angry if you decline their offer. You decide to be truthful about not feeling the same and tell them you do not see your relationship going any further.",N/A,Are you happy with your response?,Yes,No,./images/Truthful_Texting.jpeg,2
Mental Health,,,Social Media Engagement ,"You post a picture of yourself on social media that you feel you look really good in. After a couple days, you see you have gotten very few likes and comments. You still feel confident in the photo despite your social media engagement.",N/A,Do you look good in the picture you posted?,Yes,No,./images/Social_Media_Engagement.jpeg,2
Mental Health,,,Presentation Practice,"You have a big presentation coming up soon. You fear that you will be unable to present it accurately, so you dedicate a few hours the weekend before to practice. You ask your friend to come and listen to your presentation to receive feedback. When you are finished, your friend tells you that you did a really good job and that you will do well in front of the crowd. ",N/A,Do you think that you are well prepared? ,Yes,No,./images/Presentation_Practice.jpeg,2
Mental Health,Finances,,Expensive Dinner,Your friends want to go out to celebrate one of their birthdays. They choose to eat at an expensive restaurant that is out of your price range. You feel like a bad friend because you can't afford to go.,"You decide to talk to your friends about it. They are very understanding, and they choose a more affordable place to eat. You feel proud for sticking up for yourself. ",Are you a good friend?,Yes ,No,./images/Expensive_Dinner.jpeg,2
Mental Health,Work/Career Development,,Sitting in a Meeting,You are in an important meeting and you need to pay attention. Halfway through the meeting you realize you have been zoning out and don't know what is going on. You think something must be wrong with you.,"You take a few sips of water and start to feel more awake, remembering that you didn't get as much sleep as usual last night. You decide you are just tired.",Is your zoning out a sign of something wrong with your brain?,No,Yes,./images/Sitting_in_a_Meeting.jpeg,2
Mental Health,Work/Career Development,,Balancing Tasks,"You been very busy this year and haven't had the time to work on your own career development. One of your colleagues is also very busy, and yet they received a promotion. This makes you feel like a failure.  ",N/A,Should you be working harder?,Yes,No,./images/Balancing_Tasks.jpeg,2
Mental Health,Work/Career Development,,Comparing Your Work to Others',"You recently received poor feedback on a presentation. Your colleague, who delivered a similar presentation, received wonderful feedback. You think that your next presentation will be better. ",N/A,Can you improve your presentation?,Yes,No,./images/Comparing_Your_Work_to_Others'.jpeg,2
Mental Health,Work/Career Development,,A New Opportunity,You recently received an incredible promotion at your job. You suddenly feel that you didn't work hard enough to earn the opportunity. You think that you deserve the promotion.,N/A,Should you pass up the promotion? ,No,Yes,./images/A_New_Opportunity.jpeg,2
Mental Health,Work/Career Development,,Unfinished Work,"You had a very busy day, and were not able to get all of your tasks done. At dinner, your partner brags about how they finished everything on their to-do list. You feel confident about completing your work tomorrow.",N/A,Will you get everything done?,Yes ,No,./images/Unfinished_Work.jpeg,2
Mental Health,Work/Career Development,,Being in Charge,"You recently were elected to be in charge of a group of people new to your job. When you meet the other people in charge of groups, you feel as though you didn't work as hard as they did, and don't deserve this position. You take a minute to think about what you give to your job, and realize that you've been giving all you could, and people definitely noticed this.",N/A,Do you feel like you deserve your position in your job?,Yes,No,./images/Being_in_Charge.jpeg,2
Mental Health,Social Situations,,Plans for the Weekend,"It's finally Friday, and you overhear some coworkers talking about their plans for the weekend. You didn't have anything big planned for the weekend, and you feel like you're not social enough to keep up with your coworkers. You know that you work hard and are happy relaxing over the weekend, and you are content.",N/A,Do you want to be more social?,No,Yes,./images/Plans_for_the_Weekend.jpeg,2
Mental Health,Work/Career Development,,Falling Behind at Work,"You recently started a new job. As you've been working, it seems like everyone around you knows what they're doing, but you're still confused. You think this is because you're still learning, and you'll catch on soon. ",N/A,Will you get better at your job?,Yes,No,./images/Falling_Behind_at_Work.jpeg,2
Mental Health,Social Situations,,Accepting Praise,"Over the weekend, you caught up with some old friends. You told them about the job you're doing and they make comments about how smart you must be, but you don't think the job is that special. You allow yourself to feel proud of what you're working on either way.",N/A,Are you proud of the work you're doing?,yes,No,./images/Accepting_Praise.jpeg,2
Mental Health,,,Intrusive Thoughts,"Recently, you've noticed that you are having intrusive thoughts. These thoughts are disturbing to you, and you cannot believe that you are thinking such horrible things. You think that you are going crazy. ","After a while, you realize that they are just thoughts, and that they don't mean anything about you as a person. You think that you are not going crazy, and that you are a good person. ",Are you a bad person?,No,Yes,./images/Intrusive_Thoughts.jpeg,2
Mental Health,,,Your Bowling Skills,"You have been bowling in a recreational league with some friends for the past few years. You have improved since you started, but you aren't as skilled as you would like to be yet.","When you think about yourself in the years to come you don't think your bowling skills will have plateaued, and you see your bowling skills as strong.",Do you think you will end up bowling at a high level?,Yes,No ,./images/Your_Bowling_Skills.jpeg,2
