Broad Domain 1,Broad Domain 2,Broad Domain 3,MTM Title ,PD scenario body,PD scenario body #2 (negation scenarios only),PD comprehension question,PD correct response,PD incorrect response,PD photo link,Letters Missing
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work.  Thinking about your ability to make the payment, your funds will be insufficient.",,"In the coming month, you see yourself",Falling behind on your rent.,Paying your rent bill fully.,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1
Finances,Social Situations,,Worrying About Spending,"A group of your friends are going out to dinner and they invited you. You know that you guys have been going out to dinner a lot recently, and you don't know if you can keep up with this lifestyle. You tell your friends that you'll catch up with them next time, and you're happy staying at home for the night.",N/A,Are you comfortable passing up on this dinner?,Yes,No,https://drive.google.com/file/d/1eLJnrJZBFA0pUisiuLxNVgNJfC_xJB7I/view?usp=sharing,1
Finances,,,Saving up Money,"You are going over your monthly expenses, and realize you spent more than you had planned on a new hobby. It doesn't put you in a financial bind now, but you are trying to save up money to go on a ski trip you have been planning for months. As you think about cutting back on your expenses,  you think that saving enough for your trip is doable.",,The chances you will go on your ski trip are,"Good, because you will be able to save more money in the coming months.","Slim, because saving up enough money is unlikely.",https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. Thinking about your ability to make the payment, your funds will be enough.",,Taking on the extra shifts will,Mean you'll save enough to make your rent.,"Still you leave you short, and you'll be late paying your rent.",https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. You think that the plan you choose will leave you in a financial position that is solid.",,"When it comes to choosing a retirement plan, you think",That you will make a good decision because you have done your research.,"There's a good chance you will make a mistake, given how little you know about how they work.",https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,1
Finances,,,Managing Credit Cards,"Your bank has contacted you about signing up for a credit card with a very low interest rate. You are a responsible spender, but you worry about accruing debt if you sign up for a new credit card. As you think about what you would do with the credit card, you think that you would probably spend money wisely.",,Getting a new credit card would probably,Not change much about the careful way you spend.,Hurt you financially by leading to debt.,https://drive.google.com/file/d/1VkvXAEOBH6tuc4To3Q7QApJ-DzkT-ezH/view?usp=sharing,1
Finances,Family & Home Life,,Unexpected Costs,"You are currently renting your home, but you have a stable job now. You feel that it is about time to buy a house. Considering the possibility of buying, fully supporting your decision will be feasible.",,Buying a house will,Be affordable and turn out okay.,"Be beyond your means, even with your job.",https://drive.google.com/file/d/1lpvvvV6h9M0GBc8a-at-2ovha4XXdfLE/view?usp=sharing,1
Finances,Family & Home Life,,Providing for Family,"You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges, but understand that this comes with a high price tag. When you think about your grandchildren, you think supporting their college education will be affordable.",,You think that sending your grandkids to a good college,Will be attainable.,Will be beyond your means.,https://drive.google.com/open?id=1wEkSy9NvhCjr6WqsDBNjlLMJV9j0q5ou&usp=drive_copy,1
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,1
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,1
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. You think that the plan you choose will leave you in a financial position that is risky.",,Your choices for your retirement plan will probably mean,You will have to worry about money later in life.,You will have a comfortable financial future.,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,2
Finances,,,Affording Education,"Your grandchildren are thinking about going to college, but you think you would have to take out a loan to help their parents to send them. You remember stories you have heard of people still paying their loans well after retirement. Looking at your finances while in retirement, you think your loans will be paid.",,Taking out loans to help your grandchildren will,Not hurt your finances in the long run.,Ruin your finances for decades.,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,2
Finances,,,Starting a Small Business,"You are considering leaving your job to start your own small business and are ready to work hard. You are excited, but you also know that many start-ups can end up crashing and burning. Thinking about the future of your business, it will be profitable. ",,You think that working hard at your business will,Play a crucial part in your company's eventual success.,Still not be enough to keep your company afloat.,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,2
Finances,,,Credit Card Limit,"You recently made a purchase on your credit card. It was a big expense, and you wonder if you will max out your credit limit this month. You think that the rest of your expenses will be manageable. ",,Will you max out your credit card?,No,Yes,https://drive.google.com/file/d/1VkvXAEOBH6tuc4To3Q7QApJ-DzkT-ezH/view?usp=sharing,2
Finances,Social Situations,,Spending Money with Friends,"Your budget has been tighter this month. Your friends want to go out to eat this weekend, and they choose a very expensive place. If you ask them to choose a different restaurant, you think they will be understanding. ",N/A,Will your friends judge you for your suggestion?,No,Yes,https://drive.google.com/file/d/1FjRIzN2fbHlHJAh8QVlQDb21ZAiK9pZf/view?usp=sharing,2
Finances,Social Situations,,Saving for Repairs,"Your car needs important repairs. Your friends invite you to go out with them this weekend, but you need to save your money to pay for your car. You deny your friends' invitation, and you feel okay. ",N/A,Did you make the right choice?,Yes,No,https://drive.google.com/file/d/1ho3hNNuBsI2_uM04efw2daW5FzUWG_Qk/view?usp=sharing,2
Finances,,,Asking for Money ,"You've had some financial troubles recently. In order to make ends meet, you need to ask a relative for a loan. You think that this is reasonable.",N/A,Is it okay to ask for financial help?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,2
Finances,,,Job Stability,"Recently, the economy has not been doing well. You love your job, but you wonder if you will be able to keep it.  You realize that whether you will stay employed at your current job is out of your control. ",N/A,Can you control whether you keep your job?,No,Yes,https://drive.google.com/file/d/1FHxUxqljF1SCzboPqQ4jJ5Iv2YLogdbi/view?usp=sharing,2
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,2
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,2
Finances,,,Managing Credit Cards,"Your bank has contacted you about signing up for a credit card with a very low interest rate. You are a responsible spender, but you worry about accruing debt if you sign up for a new credit card. As you think about what you would do with the credit card, you think that you would probably spend money recklessly.",,"With a new credit card, you would",Have to work harder than you hoped in order to pay off new credit card debt.,Effectively integrate the credit card into your budgeting plan.,https://drive.google.com/file/d/1VkvXAEOBH6tuc4To3Q7QApJ-DzkT-ezH/view?usp=sharing,2
Finances,Family & Home Life,,Relying on Family,Your pay was recently cut and you will need to ask your family for some help affording expenses this month. You feel terrible asking since they have already supported you a lot financially in the past. You remind yourself that needing a little extra help every now and then is okay.,N/A,Is it okay to not be able to support yourself for now?,Yes,No,https://drive.google.com/file/d/1GxWt8UCfASp4YikTPMz8gDUotNRwXNlt/view?usp=sharing,2
Family & Home Life,,,Balancing Responsibilities,"Your partner's birthday is coming up, and you planned on buying them something nice. On top of this expense, your child broke their phone and needs a new one, and you don't know if you can afford both things at once. You decide to sit down and write out a budget to figure out a way to pay for both, and you feel confident. ",N/A,Are you able to give both your partner and child what they want?,Yes,No,https://drive.google.com/file/d/1WckQKhhUkYlNOg_zjpDYEBm8uXGP4s5F/view?usp=sharing,2
Finances,,,Getting a Credit Card,"You want to build up your credit score and decide to get a credit card. You start to research different cards and feel overwhelmed with the options, worrying you'll pick one that will only make your score worse. You take a deep breath and remember that you will find something that works for you.",N/A,Will you find a good credit card?,Yes,No,https://drive.google.com/file/d/1BCeABeJlKWfM8LEMZppb0NgZqzaRXTfd/view?usp=sharing,2
Finances,,,Going to the Dentist,"You go in for your routine dental appointment and find out that you have a cavity. They tell you that there will be an extra fee to pay and you start to worry about the cost. You remind yourself that it is worth it to address the cavity now before it gets worse, and you think the cost will be manageable.  ",N/A,Can you pay to fix your cavity?,Yes,No,https://drive.google.com/file/d/1ek3zj6JKFYL4SuxAIiXNxMXhXy8vY2A4/view?usp=sharing,2
Finances,,,Affording Medicine,"You woke up feeling a little sick so you decide to go to the doctor. They write you a prescription but when you get to the pharmacy, the price is a little higher than you expected. You think it can be manageable.",N/A,Will you be okay if you pay for the prescription?,Yes,No,https://drive.google.com/file/d/1GVXdWpDkaqKAI25Z1ieX7CdQnJ438jxn/view?usp=sharing,2
Finances,,,House Hunting,You are looking at new places to live next year and your partner found a great place for you both. You check the price and see that it is way above your price range. You think you will be able to find a different place that works for you.,N/A,Is it okay that you can't afford the house?,Yes,No,https://drive.google.com/file/d/1kUoE9ke0lMNRDE1GMJIouPzHh63zOCXy/view?usp=sharing,2
Finances,Social Situations,,High Paying Jobs,"You are having dinner with your friends and you all end up talking about your salaries. Many of your friends make more money than you, and you wonder whether you should have chosen a different career. You remind yourself that you chose this path for a reason and you find your job fulfilling.",N/A,Is it bad that you make less money than  your friends?,No,Yes,https://drive.google.com/file/d/1vQDFA1q2B7-kGBTjDa6pcmQeERhzuoO9/view?usp=sharing,2
Finances,Social Situations,,Weekend Plans,"Your friends ask you to go out to dinner at a fancy restaurant with them this weekend. It is really expensive and you know you won't be able to afford it. When you picture yourself telling your friends that you can't go, you feel nervous.",N/A,Will your friends be upset that you can't go out to dinner?,No,Yes,https://drive.google.com/file/d/18cLoBxquxdCG-Bu2BOxDQ5YPcrZOF1cn/view?usp=sharing,2
Finances,Family & Home Life,,Feeling Worried by the News,This morning your spouse is watching the news and you overhear that a lot of businesses are currently downsizing. You think about what will happen if your spouse loses their job. You feel scared.,You notice that your spouse does not look upset while listening to the news. You think that things will be alright.,Should you start to worry about your spouse's job?,No,Yes,https://drive.google.com/file/d/16KZJVDZijOiPKkJwZWdRQfE4gNhwBtU-/view?usp=sharing,2
Finances,Family & Home Life,,Unexpected Costs,"You are currently renting your home, but you have a stable job now. You feel that it is about time to buy a house. Considering the possibility of buying, fully supporting your decision will be too difficult.",,"Thinking about the next few years, you see yourself",Continuing to rent a home.,Owning a house and supporting yourself financially.,https://drive.google.com/file/d/1lpvvvV6h9M0GBc8a-at-2ovha4XXdfLE/view?usp=sharing,2
Finances,Social Situations,,Comparing Financial Situations,You are talking to your friends about taking a trip together. You overhear that their partners are helping them pay for it and you start to worry about keeping up with them since you are supporting yourself. You think you will have enough to go on the trip.,N/A,Will you be able to afford the trip?,Yes,No,https://drive.google.com/file/d/1XewrWobDt4QNlF4VMy20nqSlrn6hWQPM/view?usp=sharing,2
Finances,Family & Home Life,,Budgeting Your Income,"You realize that you just received your paycheck a week ago. You notice that your bank account is lower than expected. You are worried about your spending, but know you can budget effectively. ",,Will you be able to budget?,Yes,No,https://drive.google.com/file/d/1st59uAHp21ZsWE6_bcU-Ed2spXBKr23o/view?usp=sharing,2
Finances,Social Situations,,Dinner with Friends,Your friends invite you to go out to dinner with them. You realize that going out to dinner might cause you to go over your dinner budget. You decline the invitation and think that your friends will understand.,,Will your friends judge you for saying no?,No,Yes,https://drive.google.com/file/d/1U9ewd5Ff3-SyywwIn6dQVyEgiz9oHpsY/view?usp=drive_link,2
Finances,,,Managing Your Credit Card,"You are sitting watching TV and realize you forgot to pay your credit card. You’ve never been late on your credit card payment before, and you start to worry that you’ll have to pay a large fee. You think that the consequences of making the payment a few days late will be minimal. ",,Will you continue to be anxious about paying your credit card?,No,Yes,https://drive.google.com/file/d/1uRGDET4-zqSsG6BOcCCWUfiXM7AOEbHs/view?usp=sharing,2
Finances,Social Situations,,Comparing Salaries,"You are talking with friends about work and start discussing how much money everyone makes. You realize some of your friends have significantly higher salaries than you. When you consider what this means for your friendship, you think it doesn’t matter. ",,Will your friends judge you for making less money? ,No,Yes,https://drive.google.com/file/d/1VYZwdvaWZ-keKihnA1hsfWyYlpJCzpor/view?usp=drive_link,2
Finances,Social Situations,,Feeling Pressure Going Out,"You get invited to an event by one of your friends, but you must pay a large entry fee to attend. You don't want to hurt your friend's feelings, but you know that you can't afford to go to the event right now. You decide to be honest with your friend and decline the invitation to stay on track with your budgeting.",,Will you go over your budget this month? ,No,Yes,https://drive.google.com/file/d/1R2FxZeif7IOydrAotvlInu6wz_A3xaCw/view?usp=drive_link,2
Finances,Work/Career Development,,Work-Life Balance,"Last month, you accepted an offer to take on extra responsibilities at work for a pay increase. However, this has caused you to spend much less time on other important areas of your life, like family and friends. You talk with your supervisor and make a plan to reduce your responsibilities slightly, which makes you feel relieved. ",,Will your job continue to take up all of your time?,No,Yes,https://drive.google.com/file/d/18Kt5b4RM06dsw0M_iO5-4AVimFRtM3s3/view?usp=drive_link,2
Finances,Family & Home Life,,Paying for College,You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges but understand that this comes with a high price tag. You wonder if you should pitch in and help with their college tuition.,"When you think about your grandchildren, you don't think they will miss educational opportunities because of money. You think supporting their college education will be affordable.",Do you think you will have enough money to help pay for your grandchildren's college expenses?,Yes,No,https://drive.google.com/open?id=13AQPSoTcJ7l6-UEALSYBWllAd4NVeyBP&usp=drive_copy,2
Finances,,,Worrying About Savings,"You hung out with some friends you haven't seen in a while, and you ended up on the topic of finances. While you thought your financial situation was stable, your friends start talking about the money they're putting away in savings for retirement. You've been using your money to pay for necessities, and haven't thought about starting to save.","When you think about it, you know that you have lots of time to save still, and finances don't look the same for everyone. ",Are you concerned about not saving right now?,No,Yes,https://drive.google.com/file/d/1kYP_IMC9Y00yWCg_vj3iT3BuTssF0wig/view?usp=drive_link,2
Finances,,,Starting a Small Business,"You are considering leaving your job to start your own small business and are ready to work hard. You are excited, but you also know that many start-ups can end up crashing and burning. Thinking about the future of your business, it will be ruined. ",,"When thinking about the future of your company, you can see yourself:",Filing for bankruptcy.,Making a good profit.,https://drive.google.com/file/d/1OSRDlUvXTNnwLZlxsji3kxnfVjWLAKmD/view?usp=sharing,all
Finances,Social Situations,,Going out to Lunch,"Your friend invited you to go out for lunch tomorrow. You want to go and build your relationship with that friend, but you do not want to overspend your budget for the week. You decide to ask your friend to hang out another time without spending money, and you think they will understand.",,Will your friend judge you for not coming to lunch?,No,Yes,https://drive.google.com/file/d/1Em0Nn1HdNWenDS_2UW-drFwck1Jv1TOd/view?usp=drive_link,all
Finances,,,New T-Shirt,"While running errands, you see a new T-Shirt that you really like. You have a tight budget, and you don't think you have enough money left to buy the T-Shirt. You don't buy it, and that decision makes you feel good. ",,Did you regret your decision?,No,Yes,https://drive.google.com/file/d/1QynCaur9NoeWUwDPTa7x50EZprKjxHzf/view?usp=sharing,all
Finances,,,Insurance Claim,"You receive an insurance claim from a recent medical appointment that doesn't make sense. You call your insurance company to learn more, and you are anxious about what they are going to say. After the phone call, you feel relieved. ",,Do you feel better after talking to the insurance company?,Yes,No,https://drive.google.com/file/d/1LZnhgjX_Ooy4zJ7r99Iydqi6bvIOcszd/view?usp=sharing,all
Finances,,,Filing Your Taxes,You are filing your taxes for the previous year. You have several forms to include and you find the process confusing. You believe that you are trying your best. ,,Is filing your taxes confusing?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,all
Finances,,,Managing Jobs,"You’ve recently taken on extra responsibilities at work to help support your family financially. As the workload at your job gets heavier, you worry about managing your work and family responsibilities, but know you could really use the extra money. You decide to explain the situation to your supervisor, and realize that it’s okay to ask for help when needed. ",N/A,Is the extra work at your job going to be impossible?,No,Yes,https://drive.google.com/file/d/1GUeW4GffQB953R9gzA4NwFtSZk-7zD1l/view?usp=sharing,all
Finances,,,Paying Credit Card,"This month you spent more money on groceries than you usually do, and you used a credit card to pay for it. Thinking about your spending, you're worried you won't be able to cover the credit card bill, and you'll go into debt. When the bill comes in, you see that you have enough money. ",N/A,Are you able to pay off your credit card bill?,Yes,No,https://drive.google.com/file/d/1uD0PKEQVl_PpiCqphN1YKTg3CpIQgty0/view?usp=sharing,all
Finances,Social Situations,,Friend's Birthday,"Some friends have reached out to you about going out to dinner for a friend's birthday. You've had some unforseen expenses this month, and you're worried about being able to afford a nice dinner. You talk to your friends, and they reassure you that the restaurant they choose won't be expensive.",N/A,Can you go out to dinner with your friends?,Yes,No,https://drive.google.com/file/d/1jiM03nhxntGy1OgkpLVXqeBBwMsUgZ5T/view?usp=sharing,all
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,all
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,all
Finances,Family & Home Life,,Providing for Family,"You want your family to have good educational opportunities. You want your grandkids to be able to attend good colleges, but understand that this comes with a high price tag. When you think about your grandchildren, you think supporting their college education will be impossible.",,"When you think about talking to your grandchildren about their education, you can imagine telling them:","""I don't think we're going to be able to afford sending you to that school.""","""I will help you go to a good school.""",https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,all
Finances,,,Buying New Clothes,"Looking around, it seems like everyone you know has new outfits. You’ve been wearing the same clothes for years, and you start to wonder whether people are judging you. You realize that you like the clothes you have, and they make you feel good. ",N/A,Will people judge you if do not buy new clothes? ,No,Yes,https://drive.google.com/file/d/1KQCuxX95_1QzsNqkKcSAiu6i65pzXcEX/view?usp=sharing,all
Finances,Romantic Relationships,,New Home,"You are planning on moving and have started looking at houses on the market. Your spouse finds a home that they love, but you think that it would really stretch your budget. You feel confident you’ll be able to come up with a solution that works for everyone. ",N/A,Will your spouse be devastated if you don't buy the house they like?,No,Yes,https://drive.google.com/file/d/1Ql4qGft_rwLr7f7TuPEedDulnMblzh_e/view?usp=sharing,all
Finances,Social Situations,,Breakfast with Friends,"Your friends want to grab breakfast together. You don’t want to miss out on spending time with them, but you’re trying not to eat out as much. When you tell them you’ll eat the food you have at home, you think they’ll be reasonable. ",N/A,Will your friends be upset at you for saying no? ,No,Yes,https://drive.google.com/file/d/1KufUq6DjiYSOP6yTIhzGWXyizrbFcF-m/view?usp=sharing,all
Finances,Mental Health,,Affording Therapy,"You've been wanting to go to therapy for a while. However, you aren't sure whether you have the budget to pay for it. You think that it's likely that you will find a provider whose services are affordable. ",N/A,Do you want to go to therapy?,Yes,No ,https://drive.google.com/file/d/1oOjp17AzniUmJnuYe-gQ8IiWi4W8RJ71/view?usp=sharing,all
Finances,Family & Home Life,,Holiday Gifts,"A holiday that your family celebrates is coming up. You want to buy gifts for everyone, but you can't afford it. You decide to buy one gift for your family to share, and you think that it will be appreciated. ",N/A,Will your family like your gift?,Yes,No,https://drive.google.com/file/d/1jWzJuwkqvTss1X1vO90z40f-28aw_x4n/view?usp=sharing,all
Finances,Family & Home Life,,Unexpected Medical Visit ,"You recently had an unexpected medical visit. You and your spouse share an insurance plan, and you’re worried that your spouse will be concerned about finances if they see it on your insurance statement. If they ask you about it, you think they will be understanding. ",N/A,Will your spouse be mad? ,No,Yes,https://drive.google.com/file/d/1yu9h9aas60Qlgw4LN5PXrYPCRmTlEye4/view?usp=sharing,all
Finances,Mental Health,,Treating Yourself,"You've had a lot going on recently, and haven't felt like yourself. You want to treat yourself to something you enjoy, but you aren't sure you have room in your budget. You decide to buy yourself something small that you can definitely afford.",N/A,Are you able to treat yourself?,Yes,No,https://drive.google.com/file/d/1zr-ojLmvOUbAd2xJRvcq3QG2d7z_oRgu/view?usp=sharing,all
Finances,,,Affording Expenses,"Your rent is coming up. Normally you have your rent budgeted out, but some unexpected costs have left you a little short and you need to take on some extra shifts at work. ","Thinking about your ability to make the payment, you don't expect to be late on your rent, and your funds will be enough.",Do you think you will save enough to make your rent payment?,Yes,No,https://drive.google.com/file/d/1HZH-0nM2AWwMrt0gJttn0l5Qxiyelr24/view?usp=sharing,all
Finances,,,Planning Payments,"You have just started a new job, and need to select one of the retirement plans that your company offers. You have been doing some research into the different types of plans, but you feel a little overwhelmed and your deadline to choose is fast approaching. ","You do not see yourself making a big mistake, and think that the plan you choose will leave you in a financial position that is solid.",Do you think that you will choose a plan that is too risky?,No,Yes,https://drive.google.com/file/d/1KkME5KcZ5NgX_p332K2_-01OCdDxK5G3/view?usp=sharing,all
Finances,,,Affording Education,"Your grandchildren are thinking about going to college, but you think you would have to take out a loan to help their parents to send them. You remember stories you have heard of people still paying their loans well after retirement. Looking at your finances while in retirement, you think your loans will be outstanding.",,"You realize that well into retirement, you will probably be",Still burdened by your  loans.,Financially stable with your loans paid off.,https://drive.google.com/file/d/1SLIlpEwAlYywGSOzmfcgtN7_OZG7Kwcb/view?usp=sharing,all
Finances,Social Situations,,Break Plans,"Your friends are planning a trip to the beach over the break and have offered to help you with the cost. You feel grateful, but also embarrassed that you can’t pay for the trip yourself. You know that your friends are happy to help. ",N/A,Are you burdening your friends?,No,Yes,https://drive.google.com/file/d/1jjfvM58iyLIIgV9YT_iTmezJo_ZUcvF-/view?usp=sharing,all
Finances,Romantic Relationships,,Paying for Dinner ,"You are on a date with your partner. They always pick up the bill, despite you wanting to pay. When you think about talking to them about paying equally, you think they will understand. ",N/A,Will your partner understand your concerns?,Yes,No,https://drive.google.com/file/d/1LG39HuEE3BQFn4VXhyvMjd5EDazRCXml/view?usp=sharing,all
Finances,Mental Health,,Burn Out,"You have been working really hard for the past year and are starting to feel burned out. You feel like you need to take a break, but you’re worried about the financial repercussions of taking time off. You think that taking time off to focus on your mental health is important. ",N/A,Is it important to take breaks sometimes?,Yes,No,https://drive.google.com/file/d/1u7Iy0Y0w6P-NRSA3lptYET22xPZF2zLx/view?usp=sharing,all
Finances,Family & Home Life,,Financial Dependence ,"Your children have been relying on you financially, and you want them to start to be more independent. You know this is an important next step, but the thought of providing them less support is overwhelming. As you think to the future, you are confident that their financial independence will be possible. ",N/A,Will your children be able to be financially independent?,Yes,No,https://drive.google.com/file/d/1i838ss7Y0rXlm4xW7ZUDdWYkvXkoMR9f/view?usp=sharing,all
Finances,,,Making Changes,"You are doing your taxes and start worrying about what the coming years hold, especially in terms of your finances. When you think about the coming years, you know that you will be financially stable. ",N/A,Will you be financially stable in the future?,Yes,No,https://drive.google.com/file/d/1AVhHTZ98tg1U8RN7YNEfSrfGPR8aSyFw/view?usp=drive_link,all
Finances,,,Funding Good Habits ,"You recently picked up a new hobby in an effort to improve your work-life balance, and you’re really enjoying it so far. However, this new hobby requires you to purchase materials from the store, and the expenses can quickly add up. You decide to do some research online and realize that many places sell the materials you need at a discount. ",N/A,Do you need to give up your new hobby? ,No,Yes,https://drive.google.com/file/d/1VZdM3sfiSthlhRfkQ7DJvdxeR-YOLjzd/view?usp=sharing,all
Finances,Physical Health,,Healthy But Expensive ,"You want to start eating healthier, so you start researching tips and recipes online. You quickly realize that many foods recommended by health experts cost a lot of money. When you think about eating healthier on a budget, you think you can be successful. ",N/A,Are healthy recipes unattainable for you? ,No,Yes,https://drive.google.com/file/d/1zL5N7y6DsslcbeJ8JgxBMyvWGx1zYBHS/view?usp=sharing,all
Finances,Social Situations,,Weekend Plans,"Your friends ask you to go out to dinner at a fancy restaurant with them this weekend. It is really expensive and you know you won't be able to afford it. When you picture yourself telling your friends that you can't go, you feel nervous.",N/A,Will your friends be upset that you can't go out to dinner?,No,Yes,https://drive.google.com/file/d/18cLoBxquxdCG-Bu2BOxDQ5YPcrZOF1cn/view?usp=sharing,all
Finances,Family & Home Life,,Feeling Worried by the News,This morning your spouse is watching the news and you overhear that a lot of businesses are currently downsizing. You think about what will happen if your spouse loses their job. You feel scared.,You notice that your spouse does not look upset while listening to the news. You think that things will be alright.,Should you start to worry about your spouse's job?,No,Yes,https://drive.google.com/file/d/16KZJVDZijOiPKkJwZWdRQfE4gNhwBtU-/view?usp=sharing,all
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
,,,Write Your Own,,,,,,,write your own
Finances,,,Investments,"You have some money you would like to try investing. As you read more about investing, you realize that you’re not completely sure what you’re doing. You think that your investment skills are likely to keep improving with practice. ",N/A,Will investing now pay off later?,Yes,No,https://drive.google.com/file/d/1C0kDj03JLblHeq3LGfC68ItjDzUAILid/view?usp=sharing,1
Finances,,,Trip After Car Problem,"You want to take a trip to destress. Due to a recent problem with your car, your funds are lower than normal. Despite this, you think that a trip that works for your budget and improves your mental health will be doable. ",N/A,Will you be able to go on a trip? ,Yes,No,https://drive.google.com/file/d/19qjRZJdD-oc01HULnoTPjykwfFHRazw8/view?usp=drive_link,1
Finances,Physical Health,,Recovering from the Flu,"You had to take some time off of work because you caught the flu. Although the break was important for your health, it also put a strain on your finances. When you think about your financial situation, you know you will be able to make up for the lost time.",N/A,Will you recover from your time off?,Yes,No,https://drive.google.com/file/d/1cbv_QPZogeJ9EgBhzDHZF1sxXJYifyBG/view?usp=sharing,1
Finances,Family & Home Life,,Family Money Troubles,"Your sibling is in a tight spot and is asking for money. You love your sibling and really want to help them, but you are dealing with your own financial challenges and need to put your money toward rent. Thinking about the other types of support you can offer your sibling, you think they will be grateful. ",N/A,Can you help your sibling even if you can't offer them money right now? ,Yes,No,https://drive.google.com/file/d/1A8ycJgfvq0hQ65V7_IUsQ41x88OnntCo/view?usp=drive_link,1
Finances,Social Situations,,Social Function,"There is an upcoming community event to celebrate the end of the year, and you really want to go. After expecting the event to you be free, you are surprised to learn that it will actually be very costly to attend. You decide to reach out to the event committee and reach a compromise. ",N/A,Will the event coordinator be understanding?,Yes,No,https://drive.google.com/file/d/1YR3Chjx79egvIwLVyYWMeH2Gnk-aJ1kZ/view?usp=drive_link,1
Finances,,,Treating a Friend,"Your friend has been supporting you through a tough time and you are really grateful for their support. You want to thank them by treating them to dinner, but you don’t have enough money to take them out to a restaurant. You decide to make them a home-cooked dinner and think that they will be appreciative. ",N/A,Will your friend be angry that you didn’t go out to eat?,No,Yes,https://drive.google.com/file/d/11Ndn3ZR_0Me1G_yH5q_kyexnMihf27y5/view?usp=drive_link,1
